,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19
GP,au,cn,cn,be,be,jp,bh,sa,it,us,us,br,br,it,mc,es,ca,at,gb
P1,Cronus,Gabriel Lucas,Gabriel Lucas,Cronus,Jaime,,Wonderful,Gabriel Lucas,Gabriel Lucas,Jaime,Lucas,Gabriel Lucas,Gabriel Lucas,Gabriel Lucas,Jaime,Gabriel Lucas,Gabriel Lucas,Gabriel Lucas,Gabriel Lucas
P2,,,,Jestem,Cronus,,Well,Teodoro,Cronus,Lucas,Teodoro,Cronus,Jaime,Cronus,SOLDIER,Cronus,Cronus,SOLDIER,Cronus
P3,Jaime,,Jaime,Jaime,Wonderful,Carlos Martins,Cronus,Gunner,Jaime,Teodoro,Carlos Martins,SOLDIER,Cronus,Jaime,Gunner,Heliakim,SOLDIER,Boris Doido,Jestem
P4,Carlos Martins,Wonderful,Wonderful,Lucas,Well,Lucas,Jestem,Jaime,Carlos Martins,Gabriel Lucas,Jaime,Alex Soberbo,Razor,Heliakim,Carlos Martins,Razor,Teodoro,Teodoro,Carlos Martins
P5,Marcio Schuchter,Hiran Pelosi,Cronus,Wonderful,Teodoro,,,Jestem,Teodoro,Jestem,Cronus,Teodoro,Well,Well,Teodoro,Gunner,Gunner,Razor,Rudnei
P6,Teodoro,Cronus,Nicolas Rodrigues,,Rudnei,Quezadoe,Jaime,Nicolas Rodrigues,Well,Carlos Martins,Well,Rudnei,SOLDIER,Teodoro,Quezadoe,Force Paulo,Hiran Pelosi,Gunner,Gunner
P7,Hiran Pelosi,Jestem,Hiran Pelosi,Quezadoe,,Teodoro,,Quezadoe,Hiran Pelosi,Well,Gabriel Lucas,Jaime,Carlos Martins,Quezadoe,Hiran Pelosi,Carlos Martins,Well,Quezadoe,Boris Doido
P8,,Nicolas Rodrigues,Marcio Schuchter,,,Rudnei,Teodoro,Aquiles,Nicolas Rodrigues,SOLDIER,Hiran Pelosi,Lucas,Teodoro,Gunner,Well,Quezadoe,Marcio Schuchter,Force Paulo,Razor
P9,Adriano Tahariel,Jaime,Rafael Lemes,Carlos Martins,Jestem,Cronus,Hiran Pelosi,WIZE,Gunner,Gunner,Quezadoe,Quezadoe,Jestem,Rudnei,Adriano Tahariel,Boris Doido,Rafael Lemes,Alypoke,Quezadoe
P10,Ricardo,Marcio Schuchter,Adriano Tahariel,Rudnei,Quezadoe,Marcio Schuchter,Aquiles,,Rafael Lemes,Aquiles,Rafael Lemes,Aquiles,Quezadoe,WIZE,Rafael Lemes,Adriano Tahariel,Carlos Martins,Carlos Martins,Hiran Pelosi
P11,Rudnei,Teodoro,Jestem,Marcio Schuchter,Marcio Schuchter,Well,,Rafael Lemes,Adriano Tahariel,Quezadoe,Jestem,Gunner,Gunner,Carlos Martins,Ricardo,Rudnei,Quezadoe,Cronus,Alypoke
P12,Nicolas Rodrigues,,,Nicolas Rodrigues,Carlos Martins,Jaime,Quezadoe,Ricardo,,Hiran Pelosi,Nicolas Rodrigues,Adriano Tahariel,Rafael Lemes,Rafael Lemes,Hernan,Rafael Lemes,Heliakim,Marcio Schuchter,Rafael Lemes
P13,Jestem,Well,Teodoro,Adriano Tahariel,Nicolas Rodrigues,Nicolas Rodrigues,Gunner,,,Cronus,Gunner,Rafael Lemes,Nicolas Rodrigues,Adriano Tahariel,Rudnei,Alypoke,Ricardo,,Marcio Schuchter
P14,,Carlos Martins,Carlos Martins,Hiran Pelosi,Hiran Pelosi,Jestem,Marcio Schuchter,Cronus,Aquiles,Adriano Tahariel,SOLDIER,WIZE,Lucas,Ricardo,Cronus,João Feliz,Razor,Jestem,Well
P15,Gabriel Lucas,,Well,Well,Adriano Tahariel,Hiran Pelosi,Ricardo,,,,Aquiles,Jestem,Adriano Tahariel,SOLDIER,Razor,Jaime,Adriano Tahariel,Hiran Pelosi,João Feliz
P16,,Adriano Tahariel,,João Feliz,João Feliz,Rafael Lemes,Adriano Tahariel,,João Feliz,Rudnei,,Carlos Martins,WIZE,Hiran Pelosi,João Feliz,Jestem,Hernan,João Feliz,Force Paulo
P17,,Rafael Lemes,Rudnei,Teodoro,Lucas,Adriano Tahariel,Carlos Martins,João Feliz,Quezadoe,Rafael Lemes,Rudnei,Well,Ricardo,Aquiles,Gabriel Lucas,Well,,Adriano Tahariel,
P18,Rafael Lemes,Rudnei,João Feliz,,,,,Rudnei,,Nicolas Rodrigues,Adriano Tahariel,Nicolas Rodrigues,Alex Soberbo,Razor,Razor,WIZE,Rudnei,Rafael Lemes,Ricardo
P19,Lucas,,,,,,,Adriano Tahariel,,,,Ricardo,Aquiles,,,Hiran Pelosi,Jestem,Rudnei,Adriano Tahariel
P20,,João Feliz,,,,,,,,,,,Rudnei,,,Marcio Schuchter,Force Paulo,Well,
P21,,,,,,,,,,,,,,,,,,,
P22,,,,,,,,,,,,,,,,,,,
FL,,,,,,,,,,,,,,,,,,,
Pole,,,,,,,,,,,,,,,,,,,
DOTD,,,,,,,,,,,,,,,,,,,
CD,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,
ww,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,SPRINT RACES,,,,,,,,,,,,,,,,,,
