Piloto,Country,Points,Win,Podium,Top 10,FL,Pole,DOTD,CD,DNF,Entries,Equipe,teamcolor,,best,worst
Andresito,ar,175,1,4,10,0,2,1,1,1,11,Alpine,0093cc,,P1,P9
Hernan,ar,86,0,0,5,0,0,0,0,2,8,Alpine,0093cc,,P4,P16
Razor,gb,98,0,0,5,0,0,0,0,1,9,APX,858200ff,,P4,P15
Micaely,br,18,0,1,1,0,0,0,0,0,1,APX,858200ff,,P3,P3
Henrique Novaes,br,204,3,8,9,5,4,0,1,0,9,Aston Martin,229971,,P1,P4
Rafael Sanches,br,40,0,1,2,1,1,0,0,2,4,Aston Martin,229971,,P2,P4
Hiran Pelosi,br,115,0,1,4,0,0,2,0,0,11,Ferrari,e80020,,P3,P19
Adriano Tahariel,br,56,0,0,1,0,0,0,0,3,10,Ferrari,e80020,,P9,P17
Verdugo,ar,89,0,0,5,0,0,0,1,3,11,Haas,a5a9acff,,P5,P15
Jean Rodrigo,br,34,0,0,0,0,0,0,0,0,6,Haas,a5a9acff,,P11,P19
Rafael Lemes,br,105,0,0,5,0,0,1,1,0,10,McLaren,ff8000,,P6,P16
Rudnei,br,67,0,0,2,0,0,0,0,1,9,McLaren,ff8000,,P8,P19
Carlos Martins,au,149,0,3,9,0,0,0,2,0,9,Mercedes,22cfb2ff,,P2,P9
Quezadoe,nz,135,0,0,9,0,0,0,0,0,11,Mercedes,22cfb2ff,,P5,P16
Gunner,br,263,7,11,11,2,4,0,0,0,11,Racing Bulls,6692ff,,P1,P3
Ricardo,de,72,0,0,0,0,0,0,0,0,10,Racing Bulls,6692ff,,P11,P16
Alexandro,br,107,0,0,5,0,0,0,1,0,11,Red Bull,3671c6,,P7,P17
Heliakim,br,53,0,1,3,0,0,0,0,1,6,Red Bull,3671c6,,P2,P20
Teodoro1,br,0,0,0,0,0,0,0,0,0,0,Reserve,000000ff,,P999,P0
FTronc1,us,0,0,0,0,0,0,0,0,0,0,Reserve,000000ff,,P999,P0
Felipe Silva1,br,0,0,0,0,0,0,0,0,0,0,Reserve,000000ff,,P999,P0
Don Pipa1,ar,0,0,0,0,0,0,0,0,0,0,Reserve,000000ff,,P999,P0
Cronuss1,br,0,0,0,0,0,0,0,0,0,0,Reserve,000000ff,,P999,P0
Leandro Manowar1,br,0,0,0,0,0,0,0,0,0,0,Reserve,000000ff,,P999,P0
Well,br,123,0,0,7,2,0,1,0,0,10,Sauber,00ff00,,P4,P17
Gilvan,br,71,0,0,4,0,0,0,0,2,9,Sauber,00ff00,,P7,P18
Jestem,pl,49,0,2,2,1,0,0,0,1,5,Williams,64c4ff,,P3,P16
João Feliz,pt,35,0,0,0,0,0,0,0,3,10,Williams,64c4ff,,P11,P18
Piloto 6,,,,,,,,,,,,,,,,
Piloto 7,,,,,,,,,,,,,,,,
Piloto 8,,,,,,,,,,,,,,,,
Piloto 9,,,,,,,,,,,,,,,,
Piloto 10,,,,,,,,,,,,,,,,
Piloto 11,,,,,,,,,,,,,,,,
